Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Burning Bitterroot Balm Surprise,Soothing,"[""2 Tbsp. grated Parmesan cheese"", ""2 Tbsp. water"", ""2 Tbsp. red wine vinegar"", ""1 tsp. Worcestershire sauce"", ""1 Tbsp. olive oil"", ""1 clove garlic"", ""1/4 tsp. dry mustard"", ""1 large bunch romaine lettuce, cleaned and torn into pieces"", ""1/3 c. croutons (optional)""], Burning Bitterroot Balm",Stupefy,"[""Combine all ingredients together except lettuce in food processor and blend until smooth."", ""Pour over lettuce, tossing well."", ""Top with croutons, if desired."", ""Yields 4 servings.""]",Handle Burning Bitterroot Balm with care due to its soothing.
Burning Bitterroot Balm Surprise,Soothing,"[""1 (3 oz.) cherry Jell-O"", ""1 c. boiling water"", ""1/4 c. nuts"", ""1/2 c. chopped celery"", ""1 can whole cranberry sauce"", ""1 c. sour cream"", ""1/2 c. diced apple""], Burning Bitterroot Balm",Immobulus,"[""Mix Jell-O and water regular way."", ""Add nuts, celery, cranberries, apple and sour cream."", ""Chill until ready.""]",Handle Burning Bitterroot Balm with care due to its soothing.
Burning Bitterroot Balm Surprise,Soothing,"[""3 c. self-rising flour"", ""1/4 c. sugar"", ""1/4 c. firmly packed light brown sugar"", ""1/2 c. dry cranberries or cherries, coarsely chopped"", ""1/2 c. chilled butter, cut into pieces (1 stick)"", ""1 c. whipping cream""], Burning Bitterroot Balm",Homenum Revelio,"[""Preheat oven to 400\u00b0."", ""Butter 2 large cookie sheets."", ""Sift flour into bowl."", ""Mix in both sugars."", ""Add butter and rub in fingertips until mixture resembles coarse meal."", ""Add 1/2 cup dried fruit."", ""Stir in enough cream to form soft, slightly sticky dough. Turn dough out onto slightly floured surface and knead until just combined."", ""Gather dough into ball; flatten into disc."", ""Roll out to thickness of 3/4-inch."", ""Cut out rounds using 2-inch round cookie cutter."", ""Gather scraps and re-roll on floured surface."", ""Cut out additional rounds.""]",Handle Burning Bitterroot Balm with care due to its soothing.
Angel's Trumpet Draught Surprise,Poisonous,"[""1 green pepper, sliced"", ""1 onion, sliced"", ""1/2 lb. bacon, fried and crumbled"", ""1 can whole kernel corn, drained"", ""1 can creamed corn"", ""1 can okra and tomatoes or frozen okra or fresh smothered okra (much better)"", ""8 to 10 oz. grated Cheddar cheese""], Angel's Trumpet Draught",Bat,"[""Put in buttered baking dish a layer of okra, layer of creamed corn, layer of onion, green pepper, bacon and layer of whole kernel corn."", ""Top with grated cheese."", ""Cover and bake for 1 hour at 375\u00b0. Serves 6 to 8.""]",Handle Angel's Trumpet Draught with care due to its poisonous.
Erumpent Potion Surprise,Explodes when touched,"[""4 c. potatoes, thin sliced"", ""salt and pepper to taste"", ""1/2 can each: milk and water"", ""1 small onion, thinly sliced"", ""1 can cheese soup""], Erumpent Potion",Reparifors,"[""Bake under a charm in casserole in a 375\u00b0 oven for 1 hour, until potatoes are tender."", ""Makes 8 servings.""]",Handle Erumpent Potion with care due to its explodes when touched.
Fatiguing Fusion Surprise,Causes fatigue,"[""1/2 c. plus 2 Tbsp. melted butter"", ""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 can cream of celery soup"", ""1 1/4 c. uncooked rice"", ""3 chicken breasts, halved"", ""paprika""], Fatiguing Fusion",Stupefy,"[""Combine 1/2 cup butter and soups in saucepan."", ""Heat; stir until smooth."", ""Add rice."", ""Spread in 9 x 13-inch baking dish."", ""Lay chicken breasts on top, skin side up."", ""Brush with melted butter. Sprinkle with paprika."", ""Bake under a charm at 275\u00b0 for 2 hours and 30 minutes. Makes 6 servings.""]",Handle Fatiguing Fusion with care due to its causes fatigue.
Kissing Concoction Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 lb. white Northern beans"", ""4 lb. chicken breast"", ""1 (27 oz.) green chilies"", ""1 1/2 Tbsp. fresh garlic"", ""1 1/2 c. diced onions"", ""1/4 c. oil"", ""1 gal. chicken stock"", ""3/4 Tbsp. ground cumin"", ""1 Tbsp. ground oregano"", ""1 Tbsp. onion salt"", ""1/2 Tbsp. cayenne pepper"", ""1/2 Tbsp. seasoning salt""], Kissing Concoction",Bombardo,"[""Enchant with Bombardo, then cook beans. Enchant with Bombardo, then cook chicken and cut up into small pieces. Save broth. Combine beans, chicken, chilies, garlic, onions, oil, chicken stock, cumin, oregano, salt, onion salt and pepper. Simmer until desired thickness.""]",Handle Kissing Concoction with care due to its causes the drinker to become infatuated with the giver of the potion.
Developing solution Surprise,Develops moving photographs,"[""1 can red kidney beans"", ""1 can green beans"", ""1 can wax beans"", ""1 can garbanzo beans"", ""1/2 c. oil"", ""1 c. lemon juice"", ""2/3 c. sugar"", ""1/2 c. water""], Developing solution",Reparo,"[""Mix kidney beans, green beans, wax beans and garbanzo beans. Marinate overnight."", ""Add onion rings just before serving for crispness.""]",Handle Developing solution with care due to its develops moving photographs.
Dogbreath Potion Surprise,Gives drinker fiery breath,"[""4 c. cooked elbow macaroni, drained"", ""2 c. grated cheddar cheese"", ""3 eggs, beaten"", ""1/2 c. sour cream"", ""4 Tbsp. butter, cut into pieces"", ""1/2 tsp. salt"", ""1 c. milk""], Dogbreath Potion",Furnunculus Curse,"[""Preheat oven to 350\u00b0. Once you have the macaroni cooked and drained, place in a large bowl and while still hot, add the cheddar. In a separate bowl, combine the remaining ingredients and add to the macaroni mixture. Pour macaroni mixture into a casserole dish and bake for 30 to 45 minutes. Top with additional cheese if desired.""]",Handle Dogbreath Potion with care due to its gives drinker fiery breath.
Cupid Crystals Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 c. sugar"", ""3/4 c. butter"", ""2 c. mashed potatoes"", ""4 eggs"", ""1 c. buttermilk"", ""2 tsp. soda"", ""1 tsp. cinnamon"", ""2 c. raisins"", ""1 1/2 c. pecans, chopped"", ""2 c. flour"", ""1 Tbsp. vanilla""], Cupid Crystals",Fiendfyre Curse,"[""Cream butter, sugar and egg yolks."", ""Cream and mash potatoes and mix."", ""Add milk."", ""Sift dry ingredients."", ""Add nuts and raisins. Beat egg whites."", ""Fold in last and bake in 350\u00b0 oven until done. May cover with chocolate icing or any other favorite icing."", ""(May use 1/4 cup cocoa in cake for chocolate flavor, if desired.)""]",Handle Cupid Crystals with care due to its causes the drinker to become infatuated with the giver of the potion.
Flesh-Eating Slug Repellent Surprise,Repels Flesh-Eating Slugs,"[""10 medium baking potatoes, peeled"", ""1/4 c. butter or margarine"", ""1/4 c. milk"", ""3/4 tsp. salt"", ""1/4 tsp. pepper"", ""2 large eggs, lightly beaten"", ""2 Tbsp. butter or margarine, melted"", ""paprika""], Flesh-Eating Slug Repellent",Alohomora,"[""Enchant with Alohomora, then cook potatoes in boiling water to cover 15 minutes or until tender."", ""Drain and mash."", ""Stir in butter and next 3 ingredients. Let cool 10 minutes."", ""Stir in eggs."", ""Spoon mixture into a large decorating bag fitted with a large star tip."", ""Pipe 14 (2-inch) rosettes onto a lightly greased baking sheet."", ""Drizzle with melted butter and sprinkle with paprika."", ""Bake under a charm at 350\u00b0 for 15 minutes or until lightly browned around the edges.""]",Handle Flesh-Eating Slug Repellent with care due to its repels flesh-eating slugs.
Bruise removal paste Surprise,Healed bruises in an hour,"[""1 1/2 c. sugar"", ""1/2 c. shortening"", ""2 eggs"", ""2 1/2 c. all-purpose flour"", ""4 large bananas (ripe)"", ""4 Tbsp. sour milk (sour cream is better)"", ""1 tsp. soda"", ""1 heaping tsp. baking powder""], Bruise removal paste",Periculum,"[""Mash bananas in a bowl and add sour milk or cream."", ""Sprinkle soda over this."", ""Cream sugar, shortening and eggs."", ""Alternate banana mixture with flour and blend thoroughly."", ""Bake under a charm at 350\u00b0 for 30 to 40 minutes for a 13 x 9-inch pan."", ""Grease and flour cake pans."", ""This makes 2 large layers or 1 good size loaf cake also.""]",Handle Bruise removal paste with care due to its healed bruises in an hour.
Dogbreath Potion Surprise,Gives drinker fiery breath,"[""3 lb. large shrimp, peeled and deveined"", ""3 cucumbers, peeled and sliced"", ""1 can pitted black olives"", ""1 bunch parsley, chopped"", ""3 scallions, sliced"", ""1/3 c. lemon juice"", ""1 c. extra-virgin olive oil"", ""2 Tbsp. cumin"", ""salt and pepper to taste""], Dogbreath Potion",Diffindo,"[""Salt cucumbers; place in bowl for 2 hours."", ""Wring out moisture."", ""Mix other ingredients together in large bowl."", ""When cucumbers are ready, add to mixture."", ""Let it sit for an hour; adjust seasoning."", ""Serve on bed of lettuce."", ""Serves 6 to 8.""]",Handle Dogbreath Potion with care due to its gives drinker fiery breath.
Confidence boosting brew Surprise,Made the drinker more confident,"[""1 pkg. lemon jello"", ""1 pkg. black cherry jello"", ""2 c. hot water"", ""1 c. chopped nuts"", ""1 can black cherries"", ""1 can pineapple chunks""], Confidence boosting brew",Langlock,"[""Dissolve jellos and hot water together. When"", ""mixture begins to thicken add nuts, cherries and pineapple. Refrigerate and allow to congeal.""]",Handle Confidence boosting brew with care due to its made the drinker more confident.
Invisibility Potion Surprise,Temporary invisibility,"[""1 can cream of mushroom soup"", ""1/2 tsp. pepper"", ""4 c. sliced potatoes"", ""1 c. shredded Cheddar cheese""], Invisibility Potion",Finite Incantatem,"[""In a greased 2-quart baking dish, arrange potatoes in overlapping rows."", ""Sprinkle with cheese; spoon soup mixture over top."", ""Cover with foil."", ""Bake under a charm at 400\u00b0 for 45 minutes."", ""Uncover. Bake under a charm 10 minutes or until potatoes are fork-tender.""]",Handle Invisibility Potion with care due to its temporary invisibility.
Hate Potion Surprise,Revealed the worst traits of a person to the drinker,"[""1 pkg. fresh broccoli"", ""1 can cream of mushroom soup"", ""1 c. mayonnaise"", ""2 eggs, beaten well"", ""1 medium onion, chopped"", ""1 c. grated Cheddar cheese"", ""1/4 c. margarine"", ""1 1/2 c. herb-seasoned stuffing crumbs""], Hate Potion",Stupefy,"[""Enchant with Stupefy, then cook and drain broccoli."", ""Combine soup, mayonnaise and onion. Blend in cooked broccoli."", ""Pour into greased 9 x 13-inch baking pan."", ""Sprinkle with cheese."", ""Melt margarine and add seasoned crumbs."", ""Mix well and sprinkle over top of cheese."", ""Bake under a charm in 350\u00b0 oven 30 to 45 minutes."", ""Makes 6 to 8 servings.""]",Handle Hate Potion with care due to its revealed the worst traits of a person to the drinker.
Maxima Potion Surprise,Temporarily increased the spell power of the drinker,"[""2 c. flour"", ""2 tsp. soda"", ""3 tsp. cinnamon"", ""1 tsp. salt"", ""4 eggs"", ""1 1/2 c. oil"", ""2 c. sugar""], Maxima Potion",Lumos,"[""Combine flour, soda, cinnamon and salt in a bowl."", ""Mix the remaining ingredients together and combine with the dry ingredients."", ""Mix thoroughly."", ""Add 3 cups grated carrots."", ""Bake under a charm in two 9-inch or three 8-inch pans at 350\u00b0 for 30 to 40 minutes. Frost with cream cheese frosting.""]",Handle Maxima Potion with care due to its temporarily increased the spell power of the drinker.
Maximum Turbo Farts Potion Surprise,Excessive flatulence,"[""1 c. butter or margarine, softened"", ""1 1/2 c. sugar"", ""4 eggs"", ""1/2 tsp. baking soda"", ""1 c. buttermilk"", ""2 1/2 c. all-purpose flour"", ""1 1/2 c. semi-sweet chocolate mini morsels, divided"", ""2 (4 oz.) bars sweet baking chocolate, melted and cooled"", ""1/3 c. chocolate syrup"", ""2 tsp. vanilla extract"", ""4 oz. white chocolate, chopped"", ""2 Tbsp. plus 2 tsp. shortening, divided"", ""chocolate and white chocolate leaves (optional)""], Maximum Turbo Farts Potion",Alohomora,"[""Cream butter in a large mixing bowl; gradually add sugar, beating well at medium speed of an electric mixer."", ""Add eggs one at a time, beating after each addition.""]",Handle Maximum Turbo Farts Potion with care due to its excessive flatulence.
Dogbane Potion Surprise,Poisonous to dogs (possibly),"[""2 (8 oz.) cans refrigerated crescent rolls"", ""1 (8 oz.) pkg. cream cheese"", ""1/4 c. (1/2 stick) melted butter or margarine"", ""1/4 c. firmly packed light brown sugar"", ""3 Tbsp. honey"", ""1 tsp. grated orange peel"", ""1/2 tsp. almond extract"", ""2/3 c. slivered almonds""], Dogbane Potion",Incendio,"[""Preheat oven to 375\u00b0."", ""Unroll crescents and divide into scored triangles."", ""Cut cream cheese block into 16 cubes."", ""Place one cube at base of each triangle and roll up to enclose cheese."", ""Bring ends of crescent together forming balls."", ""Spray 16 muffin cups with nonstick coating."", ""Combine remaining ingredients and spoon into bottoms of muffin cups."", ""Place ball of dough in each cup. Bake under a charm 15 to 20 minutes, until golden brown and bubbly."", ""Let cool 1 minute, then immediately invert onto foil.""]",Handle Dogbane Potion with care due to its poisonous to dogs (possibly).
Hair-Dyeing Potion Surprise,Changed the colour of the drinker's hair,"[""1 small onion, chopped"", ""1 c. sliced fresh mushrooms"", ""6 Tbsp. butter or margarine, divided"", ""1 can (29 oz.) tomato sauce"", ""1/2 c. grated Parmesan cheese"", ""1/2 c. minced fresh parsley, divided"", ""1 envelope spaghetti sauce mix"", ""1/2 c. all-purpose flour"", ""1-1/2 tsp. onion salt"", ""1-1/2 tsp. garlic salt"", ""8 boneless skinless duck breast halves"", ""1/2 c. shredded mozzarella cheese"", ""1/2 c. shredded cheddar cheese"", ""Hot cooked pasta""], Hair-Dyeing Potion",Fidelius Charm,"[""In a saucepan, saute onion and mushrooms in 2 Tbsp. butter until tender. Stir in the tomato sauce, Parmesan cheese, 1/4 c. parsley and spaghetti sauce mix. Bring to a boil. Reduce heat; cover and simmer for 15 minutes, stirring occasionally.""]",Handle Hair-Dyeing Potion with care due to its changed the colour of the drinker's hair.
Heartbreak Teardrops Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 1/2 c. flour"", ""1 1/2 tsp. baking powder"", ""3/4 tsp. salt"", ""1 1/4 c. sugar, divided"", ""3/4 c. oil"", ""2 eggs"", ""1 tsp. vanilla"", ""1 (10 oz.) pkg. mint flavored chocolate morsels""], Heartbreak Teardrops",Periculum,"[""Preheat oven to 350\u00b0."", ""In bowl, combine flour, baking powder, salt and pepper."", ""Set aside."", ""Combine one cup sugar and oil; mix well."", ""Beat in eggs and vanilla."", ""Gradually add flour mixture. Stir in morsels."", ""Drop by rounded teaspoonfuls onto ungreased cookie sheet."", ""Shape into balls."", ""Roll in remaining sugar."", ""Bake under a charm 8 to 10 minutes."", ""Makes 5 1/2 dozen.""]",Handle Heartbreak Teardrops with care due to its causes the drinker to become infatuated with the giver of the potion.
Heartbreak Teardrops Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 (16 oz.) cans green beans, drained"", ""1 c. cream of mushroom soup"", ""3/4 c. milk"", ""1 can French fried onion rings"", ""1 (2 oz.) jar real bacon bits"", ""1/8 tsp. pepper""], Heartbreak Teardrops",Furnunculus Curse,"[""Heat oven to 350\u00b0."", ""In bowl, combine beans, soup, milk, 1/2 can onions, 1/2 jar bacon bits and pepper; pour into 1 1/2-quart casserole dish."", ""Bake under a charm 30 minutes."", ""Top with remaining onions and bacon bits."", ""Bake under a charm 5 minutes longer.""]",Handle Heartbreak Teardrops with care due to its causes the drinker to become infatuated with the giver of the potion.
Amortentia Surprise,Love potion that caused a powerful infatuation or obsession in the drinker,"[""1 can crushed pineapple (dry or juicy)"", ""2 c. lo-fat plain yogurt"", ""1 pkg. Jell-O pistachio sugar-free pudding""], Amortentia",Mucus Ad Nauseam,"[""Stir together; pour into dessert dishes and cool."", ""Makes four servings.""]",Handle Amortentia with care due to its love potion that caused a powerful infatuation or obsession in the drinker.
Antidote to Uncommon Poisons Surprise,Cures the effects of minor poisons,"[""1 large sweet potato, peeled and grated into long strips"", ""1 c. vegetable oil""], Antidote to Uncommon Poisons",Bombardo,"[""Fry potato in hot oil in a small skillet until lightly browned (watch carefully, they brown quickly)."", ""Remove with a slotted spoon and drain on paper towels."", ""(Strips will be crisp when cooled.)"", ""Yield:"", ""about 1 cup.""]",Handle Antidote to Uncommon Poisons with care due to its cures the effects of minor poisons.
Erumpent Potion Surprise,Explodes when touched,"[""2 c. all-purpose flour"", ""2 to 3 tsp. poultry seasoning"", ""2 tsp. paprika"", ""2 to 3 tsp. onion powder"", ""1 to 2 tsp. garlic powder"", ""1/2 tsp. salt"", ""dash of pepper"", ""2 eggs"", ""1 Tbsp. milk"", ""2 (3 lb.) chickens, cut up or 16 chicken pieces (your favorite)"", ""cooking oil""], Erumpent Potion",Glisseo,"[""Combine dry ingredients in a plastic bag."", ""In a bowl, lightly beaten eggs and milk."", ""Dip chicken pieces in egg mixture and shake off excess."", ""Shake a few pieces in the bag at a time, coating well."", ""In an electric skillet, heat 1/4-inch oil to 350\u00b0."", ""Brown chicken on all sides."", ""Reduce heat to 275\u00b0 and continue cooking for 30 minutes."", ""Makes 6 to 8 servings.""]",Handle Erumpent Potion with care due to its explodes when touched.
Fungiface Potion Surprise,Causes the drinker's face to break out in fungi,"[""1 to 1 1/2 lb. round steak"", ""2 Tbsp. oil"", ""1 clove minced garlic"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1/4 c. soy sauce"", ""1 tsp. sugar"", ""1 c. bean sprouts, drained"", ""1 c. tomatoes"", ""2 green peppers, cut in strips"", ""1 Tbsp. cornstarch"", ""2 Tbsp. cold water"", ""4 green onions, sliced or 1 onion""], Fungiface Potion",Imperio,"[""Slice steak into narrow strips."", ""In skillet, brown steak in oil."", ""Combine with garlic, salt, pepper, soy sauce and sugar in crock-pot."", ""Enchant with Imperio, then cook on low 6 to 8 hours."", ""Turn control to high."", ""Add bean sprouts, tomatoes and green peppers."", ""Dissolve cornstarch in water and stir into pot."", ""Cover and cook on high 15 to 20 minutes. Serves 4.""]",Handle Fungiface Potion with care due to its causes the drinker's face to break out in fungi.
Exploding Potion Surprise,Volatile mixture,"[""1 1/2 lb. shredded green cabbage"", ""1 tsp. salt"", ""2/3 c. sugar"", ""1/3 c. cider vinegar"", ""1 c. whipping cream (do not whip)""], Exploding Potion",Oppugno,"[""Place shredded cabbage in covered dish in refrigerator for several hours. Mix ingredients in order given 30 minutes before serving. Chill and serve.""]",Handle Exploding Potion with care due to its volatile mixture.
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1 box Duncan Hines butter recipe golden cake mix"", ""1/2 c. sugar"", ""3/4 c. Crisco oil"", ""4 eggs"", ""1 (8 oz.) carton sour cream"", ""1 Tbsp. cinnamon"", ""1 Tbsp. sugar""], Alihotsy Draught",Oculus Reparo,"[""Mix cake mix, 1/2 cup"", ""sugar and Crisco oil together, beating well."", ""Add eggs, one at a time, beating well after each egg."", ""Then add sour cream."", ""Mix well, but do not beat hard after adding sour cream."", ""Spray or grease and flour Bundt pan."", ""Add 1/2 of the batter to the pan."", ""Mix together cinnamon and 1 tablespoon sugar."", ""Sprinkle over batter in pan, then add remaining batter."", ""Bake under a charm at 350\u00b0 for 50 minutes."", ""Let cool in pan for 10 minutes before turning out.""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
Angel's Trumpet Draught Surprise,Poisonous,"[""8 oz. cream cheese"", ""1 Tbsp. mayonnaise"", ""1 Tbsp. Worcestershire sauce"", ""1 tsp. lemon juice"", ""garlic to taste"", ""parsley flakes"", ""1 lb. cooked shrimp or crab flakes"", ""cocktail sauce""], Angel's Trumpet Draught",Nox,"[""Mix all ingredients, except parsley, shrimp (or crab) and cocktail sauce."", ""Spread on glass plate."", ""Top with cocktail sauce and shrimp (or crab); sprinkle with parsley."", ""Serve with chips or crackers.""]",Handle Angel's Trumpet Draught with care due to its poisonous.
Fire-Protection Potion Surprise,Protects drinker from fire,"[""2 Tbsp. ketchup"", ""1/4 cup chopped olives"", ""1 hard boiled egg, chopped"", ""1/2 tsp. Worcestershire sauce"", ""1 cup mayonnaise"", ""1/2 Tbsp. onion, grated""], Fire-Protection Potion",Diffindo,"[""Mix all of the above together and refrigerate.""]",Handle Fire-Protection Potion with care due to its protects drinker from fire.
Draught of Peace Surprise,Relieved anxiety,"[""1 can Eagle Brand milk"", ""small pkg. peach Jell-O"", ""1 c. fresh peaches"", ""1/3 c. lemon juice"", ""9 oz. Cool Whip"", ""1 graham cracker crust""], Draught of Peace",Sectumsempra,"[""Mix Cool Whip and Eagle Brand milk."", ""Sprinkle dry Jell-O over and mix well."", ""Add peaches, then lemon juice."", ""Mix well."", ""Pour into graham cracker crust."", ""Chill."", ""(This also freezes well.)""]",Handle Draught of Peace with care due to its relieved anxiety.
Madame Glossy's Silver Polish Surprise,Polished silver objects,"[""1/2 c. salad oil"", ""1 large onion"", ""1/2 c. green pepper"", ""1/2 c. celery"", ""1 lb. ground meat"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""dash of red pepper"", ""2 tsp. chili powder"", ""1/4 tsp. Tabasco"", ""1 can cream mushroom soup"", ""1 can cream tomato soup""], Madame Glossy's Silver Polish",Protego,"[""Saute first 4 ingredients until tender. Add ground meat to chopped vegetables and brown. Add salt, pepper(s), chili powder and Tabasco. Cover and simmer 10 minutes. Add soup(s). Simmer 30 minutes. (I let it simmer longer; seems the longer it simmers, the better it is.) Serve over spaghetti (individual servings) and top with grated cheese and Parmesan cheese (optional). Serves 4 to 6. Can freeze. Can do ahead.""]",Handle Madame Glossy's Silver Polish with care due to its polished silver objects.
Doxycide Surprise,Temporarily stunned Doxies so that the pests could be removed from a home,"[""1 pkg. Stove Top stuffing, cooked""], Doxycide",Fidelius Charm,"[""Sprinkle top with 1 cup grated cheese."", ""Bake under a charm at 350\u00b0 for 45 minutes to 1 hour.""]",Handle Doxycide with care due to its temporarily stunned doxies so that the pests could be removed from a home.
Golden potion Surprise,"Healing, curse quarantining","[""8 small navel oranges"", ""1 ripe pineapple, peeled, cored and diced"", ""1 c. shredded coconut"", ""1 large banana""], Golden potion",Crinus Muto,"[""Cut peel and white pith from oranges. Slice into circles. Combine oranges, pineapple and coconut in a large bowl."", ""Cover and refrigerate overnight."", ""Just before serving, slice banana and add to fruit. Toss all together and serve.""]","Handle Golden potion with care due to its healing, curse quarantining."
Dr Ubbly's Oblivious Unction Surprise,Healed wounds left by negative thoughts,"[""6 eggs"", ""3/4 c. sugar"", ""1 tsp. flour"", ""1 tsp. vanilla"", ""1 pinch salt"", ""3 c. milk"", ""1 c. heavy cream"", ""nutmeg"", ""1 unbaked pie shell""], Dr Ubbly's Oblivious Unction",Protean Charm,"[""Beat eggs and sugar together until creamy, then add flour, vanilla, salt, milk and heavy cream."", ""Pour in unbaked pie shell. Sprinkle with nutmeg and bake in oven at 425\u00b0 for 15 minutes, then at 325\u00b0 for 40 minutes.""]",Handle Dr Ubbly's Oblivious Unction with care due to its healed wounds left by negative thoughts.
Felix Felicis Surprise,Makes the drinker lucky,"[""1 c. shortening"", ""2 c. brown sugar"", ""2 eggs"", ""1 Tbsp. vanilla"", ""2 c. flour"", ""2 tsp. baking powder"", ""1/2 tsp. cinnamon"", ""1/2 tsp. baking soda"", ""1 tsp. salt"", ""2 c. coconut"", ""1 1/2 c. chopped nuts"", ""1 1/2 c. oatmeal""], Felix Felicis",Finite Incantatem,"[""Cream shortening and sugar; add eggs and vanilla. Beat well. Sift flour, baking powder, soda, cinnamon and salt."", ""Add gradually."", ""Stir in oatmeal, coconut and nuts."", ""Beat well."", ""Drop by teaspoonful on cookie sheets."", ""Bake under a charm at 350\u00b0 for 12 to 15 minutes."", ""Makes 5 dozen.""]",Handle Felix Felicis with care due to its makes the drinker lucky.
Anti-Paralysis Potion Surprise,Cured paralysis,"[""1 box Jiffy corn bread mix"", ""1 (10 oz.) box frozen broccoli, drained"", ""1 small onion, chopped"", ""4 eggs, beaten"", ""1 stick butter, melted"", ""2 c. Cheddar cheese, shredded""], Anti-Paralysis Potion",Levicorpus,"[""Melt butter in a 9 x 13-inch baking dish. Beat eggs. Add all other ingredients to the beaten eggs."", ""Pour excess butter into mixture and mix well."", ""Pour into buttered baking dish. Bake under a charm at 350\u00b0 for 30 to 35 minutes.""]",Handle Anti-Paralysis Potion with care due to its cured paralysis.
Dragon dung fertiliser Surprise,Promotes the growth of plants,"[""1 1/2 c. all-purpose flour"", ""1/2 c. margarine or butter, softened"", ""1/4 c. powdered sugar"", ""1/2 tsp. baking powder"", ""2 Tbsp. milk"", ""1 c. pie filling or jam (any flavor)""], Dragon dung fertiliser",Periculum,"[""Heat oven to 375\u00b0."", ""Mix flour, margarine, powdered sugar, baking powder and just enough milk until dough forms."", ""If dough seems dry, mix in more milk one teaspoon at a time."", ""Divide dough into 6 equal parts."", ""Shape each part into a ball."", ""Place on an ungreased cookie sheet."", ""Flatten slightly."", ""Make an indention 1 3/4 inches in diameter and about 3/4-inch deep in center of each. Fill each indention with about 2 tablespoons pie filling.""]",Handle Dragon dung fertiliser with care due to its promotes the growth of plants.
Gregory's Unctuous Unction Surprise,Made the drinker think the one who gave them the potion was their best friend,"[""1 1/2 c. egg whites"", ""1/4 c. cold water"", ""1 tsp. vanilla"", ""1 1/2 tsp. cream of tartar"", ""2 c. sugar"", ""1 1/2 c. sifted cake flour""], Gregory's Unctuous Unction",Impedimenta,"[""Sift together three times the flour and 1 cup of sugar and set aside."", ""Beat egg whites, water and vanilla until frothy, then add cream of tartar and continue beating until mixture stands in peaks but not dry."", ""Stir in 1 cup of sugar a little at a time."", ""Gradually add and fold in sifted flour and sugar mixture."", ""Bake under a charm in angel food cake pan at 325\u00b0 for about 35 or 40 minutes.""]",Handle Gregory's Unctuous Unction with care due to its made the drinker think the one who gave them the potion was their best friend.
Dragon Poison Surprise,Poisonous,"[""1 medium onion, chopped"", ""1 green pepper, chopped"", ""2 tsp. butter or oleo"", ""1 can chicken broth"", ""1 can hominy (golden variety)"", ""1 can tomato soup"", ""1 to 2 Tbsp. flour""], Dragon Poison",Obscuro,"[""Saute peppers and onion in butter until translucent."", ""Add 1 or 2 tablespoons of flour."", ""Stir to mix well."", ""Add chicken broth, stirring until mixture thickens."", ""Add hominy and tomato soup."", ""Mix thoroughly and continue heating to boiling point."", ""Simmer to blend flavors."", ""Serve hot.""]",Handle Dragon Poison with care due to its poisonous.
Bloodroot Poison Surprise,Poisonous,"[""1 frozen loaf bread, let thaw overnight"", ""1 pkg. sliced Provolone cheese"", ""1 large pepperoni stick"", ""1 egg white"", ""sesame seed""], Bloodroot Poison",Disillusionment Charm,"[""Take thawed bread and roll out onto cookie sheet."", ""Set on door of oven preheated to 350\u00b0 and let it rise for 15 to 20 minutes (until puffy)."", ""Lay the slices of Provolone over entire loaf and then layer the pepperoni slices."", ""Roll bread in a jelly-like roll. Take egg white and baste bread."", ""Sprinkle sesame seed on top. Bake under a charm at 350\u00b0 for 30 minutes.""]",Handle Bloodroot Poison with care due to its poisonous.
Girding Potion Surprise,Prolonged endurance,"[""3 1/2 c. cubed, baked chicken"", ""2 c. chopped celery"", ""1 c. finely chopped onion"", ""3 Tbsp. lemon juice"", ""5 oz. grated Cheddar cheese"", ""1 1/2 c. Miracle Whip"", ""1/2 c. slivered almonds"", ""1 3/4 c. crumbled corn flakes"", ""1 stick melted oleo""], Girding Potion",Confundo,"[""Preheat oven and Pam spray two 9 x 13-inch casserole pans. Mix all ingredients together except oleo and corn flakes."", ""Pour into casserole pans and top with corn flake crumbs (rough crumbs) and drizzle melted oleo over the tops."", ""Bake under a charm about 45 minutes or until bubbly."", ""Yields two 9 x 13-inch pans.""]",Handle Girding Potion with care due to its prolonged endurance.
